55687.371     0.814     0.016
55695.348     0.870     0.010
55698.348     0.942     0.016
55701.371     1.004     0.014
55704.301     1.041     0.015
55723.391     1.029     0.014
55726.336     1.056     0.013
55761.168     1.120     0.016
55765.180     1.176     0.021
55768.148     1.147     0.022
55783.160     1.075     0.026
55786.164     1.063     0.018
55795.164     1.066     0.012
55801.113     1.043     0.012
55805.145     1.029     0.013
55808.133     1.019     0.015
55814.141     1.010     0.016
55817.152     0.986     0.013
55820.137     1.022     0.023
55823.121     1.020     0.015
55826.145     0.992     0.015
55829.125     0.989     0.018
55837.125     0.978     0.013
55840.102     0.956     0.019
55843.133     0.973     0.015
55850.055     0.992     0.016
55855.000     0.978     0.017
55859.090     0.959     0.020
55869.008     0.965     0.018
55872.039     0.973     0.014
55875.027     0.960     0.015
55881.016     0.950     0.015
55884.047     0.967     0.014
