55687.340     0.733     0.017
55695.316     0.745     0.012
55698.332     0.795     0.037
55701.352     0.804     0.021
55704.281     0.862     0.018
55723.359     0.888     0.023
55726.305     0.945     0.010
55729.289     0.982     0.011
55745.234     0.976     0.018
55761.137     0.979     0.021
55765.148     0.964     0.018
55768.117     1.005     0.016
55775.000     1.010     0.016
55783.129     1.090     0.029
55786.133     1.160     0.027
55795.133     1.109     0.012
55801.082     1.078     0.016
55805.109     1.076     0.016
55814.109     1.068     0.013
55817.117     1.065     0.012
55820.105     1.053     0.019
55823.090     1.042     0.030
55826.094     1.055     0.014
55829.094     1.084     0.026
55832.094     1.067     0.021
55837.094     1.049     0.011
55840.102     1.035     0.011
55843.102     1.051     0.021
55850.020     1.043     0.027
55855.000     1.017     0.015
55859.059     1.003     0.017
55869.008     1.035     0.028
55872.008     1.036     0.025
55875.027     1.044     0.013
55881.016     1.034     0.019
55884.016     1.028     0.032
